LTLA,ts0750001,ts0750002,ts0750003,ts0750004,ts0750005,ts0750006,ts0750007
E09000005,118611,31985,2821,60382,9010,10332,4081
E09000006,135827,38668,2843,43901,28106,20169,2140
E09000007,92757,35929,2476,24172,16197,11405,2578
E09000008,152947,43091,3739,62020,21976,18454,3667
E09000009,133659,35662,3107,61137,14762,14149,4842
E09000010,120924,31159,3324,56696,13209,12986,3550
E09000011,114053,34048,2303,38781,21519,14487,2915
E09000012,106082,34928,2804,30017,24238,11935,2160
E09000013,81244,29324,2005,24527,12280,11071,2037
E09000014,105092,32293,2511,34936,19496,12801,3055
E09000015,89640,19852,2045,52215,4988,6982,3558
E09000016,101277,26129,1938,40372,17129,13918,1791
E09000017,109228,26635,2124,52659,11773,11898,4139
E09000018,102961,26209,2212,48747,11062,10479,4252
E09000019,96497,34795,2155,22854,21428,13316,1949
E09000020,66884,29232,1984,19952,7180,6683,1853
E09000021,65626,17716,1545,22016,12705,9996,1648
E09000022,134688,43154,2820,37519,29047,19273,2875
E09000023,122392,37147,2827,36751,27031,15954,2682
E09000024,81729,20464,1943,31961,13482,11656,2223
E09000025,115506,27038,2660,60686,11189,10106,3827
E09000026,103713,23886,2327,57443,7677,8849,3531
E09000027,80708,23871,1777,23608,16594,13210,1648
E09000028,130818,43348,2697,37404,27047,16951,3371
E09000029,82348,22197,1712,30410,14877,11594,1558
E09000030,120539,38531,2509,43164,20160,13386,2789
E09000031,102901,26696,2393,39898,19204,12103,2607
E09000032,137391,41132,2820,40009,27879,22514,3037
E09000033,94814,40443,2534,27984,11170,9710,2973
W06000001,30822,10189,595,9363,6610,3945,120
W06000002,51105,17664,1044,13673,11843,6608,273
W06000003,52235,17909,992,15259,10806,6955,314
W06000004,42387,14107,857,12252,9283,5657,231
W06000005,66911,19471,1395,21041,14914,9780,310
W06000006,57914,17662,1216,17730,13349,7631,326
W06000008,30894,10202,693,8732,6933,4127,207
W06000009,55489,18507,1143,15753,12446,7385,255
W06000010,81759,25349,1548,23590,19547,11311,414
W06000011,104962,36154,1847,26001,26309,13940,711
W06000012,62375,20368,934,15159,17064,8610,240
W06000013,62361,18664,1058,14915,18581,8855,288
W06000014,57445,17841,926,14504,14914,8936,324
W06000015,147330,47463,2504,39905,34618,21084,1756
W06000016,103342,32170,1745,21766,33707,13470,484
W06000018,76259,22965,1344,16254,25286,10120,290
W06000019,30340,10175,536,6088,9705,3747,89
W06000020,40240,12316,763,9732,11556,5701,172
W06000021,40924,12287,777,11704,9398,6491,267
W06000022,66053,19997,1148,19028,15849,9553,478
W06000023,60182,19841,1368,17326,13200,8156,291
W06000024,25783,8258,378,5933,7730,3394,90
